TimeSinceStart_s;Temperature;Humidity;Latitude;Longitude;Altitude;TimeUTC;PM1_0;PM2_5;PM4_0;PM10_0
280;27.27;42.62;47.392170;8.532022;480.30;8554000.00000;6.73;7.11;7.11;7.11
285;28.17;40.17;47.392151;8.532030;496.00;8554500.00000;5.97;6.31;6.31;6.31
290;28.87;38.24;47.392155;8.532021;496.70;8555000.00000;5.24;5.54;5.54;5.54
295;29.66;36.80;47.392159;8.532025;491.10;8555500.00000;4.89;5.17;5.17;5.17
300;30.39;35.47;47.392166;8.532027;486.50;8560000.00000;4.81;5.08;5.08;5.08
305;31.05;34.44;47.392159;8.532030;486.30;8560500.00000;4.94;5.22;5.22;5.22
310;31.79;33.31;47.392155;8.532030;484.30;8561000.00000;4.92;5.20;5.20;5.20
315;32.31;32.10;47.392147;8.532036;482.30;8561500.00000;5.07;5.36;5.36;5.36
320;32.79;31.39;47.392151;8.532033;478.60;8562000.00000;5.07;5.37;5.37;5.37
325;33.29;30.87;47.392166;8.532022;471.90;8562500.00000;4.88;5.16;5.16;5.16
330;33.82;30.16;47.392174;8.532025;466.70;8563000.00000;4.79;5.06;5.06;5.06
335;34.26;29.36;47.392181;8.532026;463.40;8563500.00000;4.70;4.97;4.97;4.97
340;34.55;28.75;47.392178;8.532025;462.90;8564000.00000;4.76;5.03;5.03;5.03
345;34.91;28.64;47.392170;8.532028;463.10;8564500.00000;4.84;5.11;5.11;5.11
350;35.29;28.22;47.392174;8.532020;461.80;8565000.00000;4.76;5.03;5.03;5.03
355;35.70;27.72;47.392166;8.532022;463.50;8565500.00000;4.64;4.90;4.90;4.90
360;36.09;27.31;47.392166;8.532022;465.30;8565900.00000;4.44;4.70;4.70;4.70
365;36.48;26.71;47.392155;8.532028;467.60;8570400.00000;4.20;4.44;4.44;4.44
370;36.78;26.21;47.392166;8.532019;468.80;8570900.00000;4.20;4.45;4.45;4.45
375;37.07;25.99;47.392166;8.532013;468.30;8571400.00000;4.08;4.32;4.32;4.32
380;37.25;25.79;47.392181;8.532005;468.80;8571900.00000;4.09;4.32;4.32;4.32
385;37.57;25.40;47.392185;8.531998;467.50;8572400.00000;4.17;4.41;4.41;4.41
390;37.80;25.09;47.392197;8.531992;465.00;8572900.00000;4.27;4.51;4.51;4.51
395;37.99;24.79;47.392216;8.531976;462.20;8573400.00000;4.45;4.71;4.71;4.71
400;38.29;24.58;47.392235;8.531963;459.60;8573900.00000;4.57;4.84;4.84;4.84
405;38.23;24.68;47.392246;8.531962;456.60;8574400.00000;4.52;4.78;4.78;4.78
410;38.44;24.57;47.392254;8.531959;454.30;8574900.00000;4.53;4.79;4.79;4.79
415;38.57;24.27;47.392223;8.531986;455.70;8575400.00000;4.74;5.01;5.01;5.01
420;37.91;25.56;47.392147;8.532017;454.40;8575900.00000;20.27;21.43;21.43;21.43
425;37.50;26.27;47.392136;8.532011;449.20;8580400.00000;4.21;4.45;4.45;4.45
430;37.31;26.07;47.392151;8.532002;441.60;8580900.00000;5.56;5.88;5.88;5.88
435;37.20;26.67;47.392166;8.531981;439.00;8581400.00000;5.39;5.70;5.70;5.70
440;37.20;30.35;47.392197;8.531970;437.30;8581900.00000;5.12;5.41;5.41;5.41
445;37.89;30.31;47.392162;8.532014;439.40;8582400.00000;4.70;4.97;4.97;4.97
450;38.45;27.76;47.392162;8.532025;442.90;8582900.00000;4.34;4.59;4.59;4.59
455;39.01;26.48;47.392147;8.532032;444.30;8583400.00000;3.85;4.07;4.07;4.07
460;39.54;25.87;47.392139;8.532040;443.90;8583900.00000;3.60;3.81;3.81;3.81
