TimeSinceStart_s,Temperature,Humidity,Latitude,Longitude,Altitude,TimeUTC,PM1_0,PM2_5,PM4_0,PM10_0,ref_Temperature,ref_Humidity,ref_PM1_0,ref_PM2_5,ref_PM4_0,ref_PM10_0,diff_Temperature,diff_Humidity,diff_PM1_0,diff_PM2_5,diff_PM4_0,diff_PM10_0
280,27.27,42.62,47.39217,8.532022,480.3,8554000.0,6.73,7.11,7.11,7.11,16.29,57.81,-9999.0,9.72,-9999.0,13.23,10.98,-15.19,-9999.0,-2.61,-9999.0,-6.12
285,28.17,40.17,47.392151,8.53203,496.0,8554500.0,5.97,6.31,6.31,6.31,16.29,57.81,-9999.0,9.72,-9999.0,13.23,11.88,-17.64,-9999.0,-3.41,-9999.0,-6.92
290,28.87,38.24,47.392155,8.532021,496.7,8555000.0,5.24,5.54,5.54,5.54,16.29,57.81,-9999.0,9.72,-9999.0,13.23,12.58,-19.57,-9999.0,-4.18,-9999.0,-7.69
295,29.66,36.8,47.392159,8.532025,491.1,8555500.0,4.89,5.17,5.17,5.17,16.29,57.81,-9999.0,9.72,-9999.0,13.23,13.37,-21.01,-9999.0,-4.55,-9999.0,-8.06
300,30.39,35.47,47.392166,8.532027,486.5,8560000.0,4.81,5.08,5.08,5.08,16.29,57.81,-9999.0,9.72,-9999.0,13.23,14.1,-22.34,-9999.0,-4.64,-9999.0,-8.15
305,31.05,34.44,47.392159,8.53203,486.3,8560500.0,4.94,5.22,5.22,5.22,16.29,57.81,-9999.0,9.72,-9999.0,13.23,14.76,-23.37,-9999.0,-4.5,-9999.0,-8.01
310,31.79,33.31,47.392155,8.53203,484.3,8561000.0,4.92,5.2,5.2,5.2,16.29,57.81,-9999.0,9.72,-9999.0,13.23,15.5,-24.5,-9999.0,-4.52,-9999.0,-8.03
315,32.31,32.1,47.392147,8.532036,482.3,8561500.0,5.07,5.36,5.36,5.36,16.29,57.81,-9999.0,9.72,-9999.0,13.23,16.02,-25.71,-9999.0,-4.36,-9999.0,-7.87
320,32.79,31.39,47.392151,8.532033,478.6,8562000.0,5.07,5.37,5.37,5.37,16.29,57.81,-9999.0,9.72,-9999.0,13.23,16.5,-26.42,-9999.0,-4.35,-9999.0,-7.86
325,33.29,30.87,47.392166,8.532022,471.9,8562500.0,4.88,5.16,5.16,5.16,16.29,57.81,-9999.0,9.72,-9999.0,13.23,17.0,-26.94,-9999.0,-4.56,-9999.0,-8.07
330,33.82,30.16,47.392174,8.532025,466.7,8563000.0,4.79,5.06,5.06,5.06,16.29,57.81,-9999.0,9.72,-9999.0,13.23,17.53,-27.65,-9999.0,-4.66,-9999.0,-8.17
335,34.26,29.36,47.392181,8.532026,463.4,8563500.0,4.7,4.97,4.97,4.97,16.29,57.81,-9999.0,9.72,-9999.0,13.23,17.97,-28.45,-9999.0,-4.75,-9999.0,-8.26
340,34.55,28.75,47.392178,8.532025,462.9,8564000.0,4.76,5.03,5.03,5.03,16.29,57.81,-9999.0,9.72,-9999.0,13.23,18.26,-29.06,-9999.0,-4.69,-9999.0,-8.2
345,34.91,28.64,47.39217,8.532028,463.1,8564500.0,4.84,5.11,5.11,5.11,16.29,57.81,-9999.0,9.72,-9999.0,13.23,18.62,-29.17,-9999.0,-4.61,-9999.0,-8.12
350,35.29,28.22,47.392174,8.53202,461.8,8565000.0,4.76,5.03,5.03,5.03,16.29,57.81,-9999.0,9.72,-9999.0,13.23,19.0,-29.59,-9999.0,-4.69,-9999.0,-8.2
355,35.7,27.72,47.392166,8.532022,463.5,8565500.0,4.64,4.9,4.9,4.9,16.29,57.81,-9999.0,9.72,-9999.0,13.23,19.41,-30.09,-9999.0,-4.82,-9999.0,-8.33
360,36.09,27.31,47.392166,8.532022,465.3,8565900.0,4.44,4.7,4.7,4.7,16.29,57.81,-9999.0,9.72,-9999.0,13.23,19.8,-30.5,-9999.0,-5.02,-9999.0,-8.53
365,36.48,26.71,47.392155,8.532028,467.6,8570400.0,4.2,4.44,4.44,4.44,16.29,57.81,-9999.0,9.72,-9999.0,13.23,20.19,-31.1,-9999.0,-5.28,-9999.0,-8.79
370,36.78,26.21,47.392166,8.532019,468.8,8570900.0,4.2,4.45,4.45,4.45,16.29,57.81,-9999.0,9.72,-9999.0,13.23,20.49,-31.6,-9999.0,-5.27,-9999.0,-8.78
375,37.07,25.99,47.392166,8.532013,468.3,8571400.0,4.08,4.32,4.32,4.32,16.29,57.81,-9999.0,9.72,-9999.0,13.23,20.78,-31.82,-9999.0,-5.4,-9999.0,-8.91
380,37.25,25.79,47.392181,8.532005,468.8,8571900.0,4.09,4.32,4.32,4.32,16.29,57.81,-9999.0,9.72,-9999.0,13.23,20.96,-32.02,-9999.0,-5.4,-9999.0,-8.91
385,37.57,25.4,47.392185,8.531998,467.5,8572400.0,4.17,4.41,4.41,4.41,16.29,57.81,-9999.0,9.72,-9999.0,13.23,21.28,-32.41,-9999.0,-5.31,-9999.0,-8.82
390,37.8,25.09,47.392197,8.531992,465.0,8572900.0,4.27,4.51,4.51,4.51,16.29,57.81,-9999.0,9.72,-9999.0,13.23,21.51,-32.72,-9999.0,-5.21,-9999.0,-8.72
395,37.99,24.79,47.392216,8.531976,462.2,8573400.0,4.45,4.71,4.71,4.71,16.29,57.81,-9999.0,9.72,-9999.0,13.23,21.7,-33.02,-9999.0,-5.01,-9999.0,-8.52
400,38.29,24.58,47.392235,8.531963,459.6,8573900.0,4.57,4.84,4.84,4.84,16.29,57.81,-9999.0,9.72,-9999.0,13.23,22.0,-33.23,-9999.0,-4.88,-9999.0,-8.39
405,38.23,24.68,47.392246,8.531962,456.6,8574400.0,4.52,4.78,4.78,4.78,16.29,57.81,-9999.0,9.72,-9999.0,13.23,21.94,-33.13,-9999.0,-4.94,-9999.0,-8.45
